"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Surgical and medical procedures";21;257;0;227;33;220;359;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Social circumstances";6;385;0;448;19;126;298;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Skin and subcutaneous tissue disorders";37;13178;0;15141;532;10626;8963;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Respiratory, thoracic and mediastinal disorders";612;10162;0;9863;643;8419;6958;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Reproductive system and breast disorders";1;6388;0;3299;254;2133;2257;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Renal and urinary disorders";48;993;0;1242;70;714;637;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Psychiatric disorders";45;4899;0;6638;265;3855;3797;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Product issues";1;59;0;28;5;22;38;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Pregnancy, puerperium and perinatal conditions";9;57;0;127;17;68;165;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Nervous system disorders";816;54276;0;88528;3790;48599;31829;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";16;145;0;68;6;103;178;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Musculoskeletal and connective tissue disorders";70;43063;0;61469;1865;36438;16497;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Metabolism and nutrition disorders";70;3187;0;4152;145;2823;1305;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Investigations";115;4504;0;9238;237;4245;3567;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Injury, poisoning and procedural complications";139;2408;0;2235;139;1680;4637;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Infections and infestations";322;6149;0;7549;541;6673;3784;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Immune system disorders";22;721;0;1282;75;952;953;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Hepatobiliary disorders";51;248;0;127;9;205;214;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"General disorders and administration site conditions";1242;65011;0;135321;3355;74177;44023;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Gastrointestinal disorders";259;20571;0;45161;1294;22610;13312;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Eye disorders";21;5885;0;5345;356;3609;2835;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Endocrine disorders";4;202;0;83;10;116;101;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Ear and labyrinth disorders";0;4788;0;2878;236;2258;1753;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Congenital, familial and genetic disorders";4;56;0;28;2;28;37;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Blood and lymphatic system disorders";28;289;0;117;2;108;132;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Cardiac disorders";115;317;0;324;9;189;237;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Congenital, familial and genetic disorders";0;15;0;2;0;0;8;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Ear and labyrinth disorders";0;243;0;104;2;106;73;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Endocrine disorders";1;26;0;4;0;4;7;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Eye disorders";5;439;0;258;4;159;149;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Gastrointestinal disorders";53;1669;0;2936;10;1672;569;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"General disorders and administration site conditions";281;7135;0;8825;37;6809;2906;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Hepatobiliary disorders";9;32;0;13;0;11;29;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Immune system disorders";7;58;0;88;2;38;103;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Infections and infestations";55;396;0;194;8;227;738;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Injury, poisoning and procedural complications";13;203;0;100;2;41;337;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Investigations";67;1422;0;1260;2;441;648;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Metabolism and nutrition disorders";24;137;0;100;0;80;81;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Musculoskeletal and connective tissue disorders";28;4180;0;4093;19;3325;948;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";2;17;0;1;0;1;9;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Nervous system disorders";131;4952;0;5413;57;3737;1637;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Pregnancy, puerperium and perinatal conditions";1;6;0;6;0;0;13;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Product issues";0;1;0;2;0;0;15;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Psychiatric disorders";11;307;0;250;2;139;291;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Renal and urinary disorders";10;105;0;69;1;37;54;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Reproductive system and breast disorders";4;352;0;184;4;86;150;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Respiratory, thoracic and mediastinal disorders";117;1057;0;570;6;424;474;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Vascular disorders";99;959;0;431;8;254;628;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Surgical and medical procedures";36;258;0;94;0;14;134;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Social circumstances";3;96;0;35;0;11;61;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Skin and subcutaneous tissue disorders";4;828;0;650;8;460;351;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
