"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Pregnancy, puerperium and perinatal conditions";5;84;0;254;10;13;121;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Nervous system disorders";592;12054;0;17912;259;6988;7159;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";33;123;0;29;1;4;107;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Metabolism and nutrition disorders";134;669;0;665;13;201;706;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Investigations";110;1223;0;1745;30;658;1061;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Injury, poisoning and procedural complications";107;834;0;2375;15;159;1930;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Infections and infestations";362;2144;0;1677;38;860;2136;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Immune system disorders";11;344;0;881;13;236;610;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Hepatobiliary disorders";24;134;0;73;1;55;118;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"General disorders and administration site conditions";2302;20053;0;29402;256;15779;10266;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Gastrointestinal disorders";218;4803;0;9613;105;3889;3171;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Eye disorders";14;1468;0;1100;42;387;852;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Endocrine disorders";1;85;0;32;2;19;51;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Ear and labyrinth disorders";0;1591;0;699;24;328;504;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Congenital, familial and genetic disorders";1;34;0;28;3;2;29;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Cardiac disorders";635;1913;0;2131;76;807;1752;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Blood and lymphatic system disorders";201;4310;0;2513;130;2517;1993;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Cardiac disorders";566;3442;0;6111;461;3511;2394;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Congenital, familial and genetic disorders";4;52;0;26;2;27;32;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Ear and labyrinth disorders";0;4650;0;2822;227;2205;1705;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Endocrine disorders";4;191;0;80;9;107;92;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Eye disorders";19;5737;0;5256;333;3538;2767;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Gastrointestinal disorders";247;20280;0;44666;1263;22321;13110;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"General disorders and administration site conditions";1191;64070;0;133622;3276;73281;43109;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Hepatobiliary disorders";48;242;0;125;10;200;200;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Immune system disorders";19;697;0;1246;71;928;922;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Infections and infestations";302;5986;0;7366;526;6505;3410;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Injury, poisoning and procedural complications";132;2340;0;2194;125;1653;4474;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Investigations";110;4358;0;9117;229;4148;3413;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Metabolism and nutrition disorders";65;3157;0;4104;144;2788;1277;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Musculoskeletal and connective tissue disorders";67;42391;0;60721;1816;36003;16119;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";16;140;0;64;5;99;170;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Nervous system disorders";775;53319;0;87414;3680;47908;31221;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Pregnancy, puerperium and perinatal conditions";9;51;0;120;15;65;154;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Product issues";1;57;0;27;4;21;38;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Psychiatric disorders";41;4760;0;6547;259;3782;3710;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Renal and urinary disorders";46;961;0;1225;64;698;608;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Reproductive system and breast disorders";1;6119;0;3202;243;2066;2153;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Respiratory, thoracic and mediastinal disorders";575;9909;0;9684;619;8222;6756;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Skin and subcutaneous tissue disorders";35;12898;0;14901;518;10427;8797;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Social circumstances";7;361;0;442;18;121;285;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Surgical and medical procedures";21;253;0;213;33;215;332;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Vascular disorders";356;6211;0;6402;407;5642;4741;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Blood and lymphatic system disorders";26;270;0;106;2;98;124;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Cardiac disorders";107;279;0;292;7;169;221;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Congenital, familial and genetic disorders";0;15;0;2;0;0;8;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Ear and labyrinth disorders";0;210;0;97;1;100;63;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Endocrine disorders";1;22;0;4;0;4;3;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Eye disorders";3;395;0;240;2;149;136;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Gastrointestinal disorders";34;1574;0;2812;9;1606;524;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"General disorders and administration site conditions";222;6792;0;8352;30;6569;2468;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Hepatobiliary disorders";7;27;0;14;0;11;29;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Immune system disorders";5;54;0;81;1;32;99;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Infections and infestations";33;340;0;160;7;188;537;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Injury, poisoning and procedural complications";11;185;0;91;1;40;303;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Investigations";58;1349;0;1203;2;414;608;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Metabolism and nutrition disorders";16;125;0;88;1;67;79;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Musculoskeletal and connective tissue disorders";20;3987;0;3871;12;3215;884;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";2;16;0;1;0;1;9;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Nervous system disorders";106;4641;0;5065;44;3577;1491;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Pregnancy, puerperium and perinatal conditions";1;6;0;5;0;0;13;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Product issues";0;1;0;2;0;0;15;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Psychiatric disorders";10;284;0;228;1;126;258;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Renal and urinary disorders";9;96;0;65;1;30;46;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Reproductive system and breast disorders";3;262;0;133;3;62;120;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Respiratory, thoracic and mediastinal disorders";71;979;0;534;5;366;432;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Skin and subcutaneous tissue disorders";3;754;0;597;8;426;308;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Social circumstances";3;87;0;30;0;11;54;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Surgical and medical procedures";32;251;0;89;0;13;125;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Vascular disorders";89;898;0;408;7;232;581;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
