"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Skin and subcutaneous tissue disorders";31;12767;0;14771;513;10354;8738;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Social circumstances";6;352;0;427;18;119;273;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Surgical and medical procedures";21;250;0;215;32;214;312;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Vascular disorders";349;6133;0;6312;400;5568;4673;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Blood and lymphatic system disorders";49;1668;0;1100;19;869;664;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Cardiac disorders";614;1796;0;2012;72;716;1663;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Congenital, familial and genetic disorders";1;32;0;27;3;2;24;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Ear and labyrinth disorders";0;1516;0;668;21;308;480;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Endocrine disorders";1;82;0;30;2;17;48;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Eye disorders";13;1392;0;1064;41;356;815;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Gastrointestinal disorders";205;4553;0;9197;99;3640;3016;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"General disorders and administration site conditions";2232;19021;0;28020;239;14942;9581;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Hepatobiliary disorders";20;129;0;69;1;48;106;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Immune system disorders";10;325;0;822;11;209;564;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Infections and infestations";340;1996;0;1557;33;791;1967;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Injury, poisoning and procedural complications";105;793;0;2205;13;142;1809;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Investigations";107;1159;0;1664;26;620;1036;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Metabolism and nutrition disorders";129;628;0;635;13;183;656;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Musculoskeletal and connective tissue disorders";111;8734;0;11880;111;6243;3466;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";29;114;0;27;1;4;100;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Nervous system disorders";572;11359;0;17184;241;6547;6839;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Pregnancy, puerperium and perinatal conditions";5;81;0;245;10;13;114;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Product issues";0;3;0;27;0;0;16;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Psychiatric disorders";96;1260;0;1546;24;351;1343;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Renal and urinary disorders";93;365;0;384;10;93;441;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Reproductive system and breast disorders";2;860;0;539;21;295;436;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Respiratory, thoracic and mediastinal disorders";538;2972;0;3056;52;1021;2672;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Skin and subcutaneous tissue disorders";47;3782;0;4304;51;2125;2536;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Social circumstances";20;466;0;192;3;20;270;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Surgical and medical procedures";56;164;0;163;2;15;334;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Vascular disorders";215;1751;0;2072;43;692;1655;"COVID-19 MRNA VACCINE MODERNA (CX-024414) "
"Blood and lymphatic system disorders";24;252;0;101;1;95;117;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Cardiac disorders";103;259;0;269;7;159;206;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Congenital, familial and genetic disorders";0;14;0;2;0;0;8;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Ear and labyrinth disorders";0;190;0;89;1;96;60;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Endocrine disorders";1;17;0;4;0;4;2;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Eye disorders";3;372;0;225;2;137;124;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Gastrointestinal disorders";28;1493;0;2711;8;1532;500;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"General disorders and administration site conditions";201;6509;0;8016;28;6344;2255;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Hepatobiliary disorders";7;25;0;14;0;9;27;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Immune system disorders";5;50;0;79;0;31;96;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Infections and infestations";27;310;0;145;6;177;442;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Injury, poisoning and procedural complications";11;177;0;85;1;36;284;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Investigations";56;1303;0;1040;2;401;585;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Metabolism and nutrition disorders";13;115;0;83;0;59;76;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Musculoskeletal and connective tissue disorders";19;3826;0;3706;12;3095;842;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";2;15;0;1;0;1;7;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Nervous system disorders";101;4429;0;4825;45;3446;1427;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Pregnancy, puerperium and perinatal conditions";1;5;0;5;0;0;12;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Product issues";0;2;0;2;0;0;15;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Psychiatric disorders";9;251;0;214;1;117;240;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Renal and urinary disorders";9;88;0;61;1;29;45;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Reproductive system and breast disorders";3;215;0;117;2;51;112;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Respiratory, thoracic and mediastinal disorders";64;923;0;506;5;335;411;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Skin and subcutaneous tissue disorders";3;700;0;546;8;405;294;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Social circumstances";3;78;0;25;0;9;50;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Surgical and medical procedures";31;241;0;90;0;12;118;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Vascular disorders";86;874;0;391;6;220;550;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
