"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Skin and subcutaneous tissue disorders";38;13273;0;15231;539;10698;9017;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Social circumstances";6;394;0;448;19;129;310;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Surgical and medical procedures";22;262;0;235;34;223;371;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Vascular disorders";379;6483;0;6585;440;5846;4993;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Immune system disorders";23;732;0;1290;77;964;962;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Blood and lymphatic system disorders";27;279;0;108;2;101;132;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Cardiac disorders";120;327;0;326;11;192;245;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Congenital, familial and genetic disorders";0;15;0;2;0;0;8;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Ear and labyrinth disorders";1;257;0;126;2;110;80;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Endocrine disorders";1;28;0;4;0;4;7;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Eye disorders";5;452;0;263;4;160;155;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Gastrointestinal disorders";56;1719;0;3013;10;1712;588;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"General disorders and administration site conditions";303;7322;0;9115;38;6961;3016;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Hepatobiliary disorders";9;33;0;14;1;11;30;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Immune system disorders";7;61;0;90;2;38;105;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Infections and infestations";66;416;0;205;9;241;773;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Injury, poisoning and procedural complications";16;208;0;103;2;43;342;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Investigations";72;1454;0;1288;2;451;668;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Metabolism and nutrition disorders";26;138;0;105;0;83;84;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Musculoskeletal and connective tissue disorders";30;4296;0;4233;19;3391;976;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";2;17;0;1;0;1;10;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Nervous system disorders";142;5088;0;5605;58;3817;1698;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Pregnancy, puerperium and perinatal conditions";1;6;0;6;0;0;13;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Product issues";0;1;0;3;0;0;16;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Psychiatric disorders";11;323;0;258;2;140;298;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Renal and urinary disorders";11;107;0;70;1;38;56;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Reproductive system and breast disorders";4;404;0;208;4;97;175;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Respiratory, thoracic and mediastinal disorders";136;1082;0;587;7;436;486;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Skin and subcutaneous tissue disorders";5;854;0;671;8;467;366;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Social circumstances";4;99;0;35;0;11;64;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Surgical and medical procedures";38;264;0;96;0;14;136;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Vascular disorders";106;981;0;449;10;265;646;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Blood and lymphatic system disorders";156;9164;0;7589;237;6478;3410;"TOZINAMERAN "
"Cardiac disorders";1745;6279;0;8524;671;5627;5068;"TOZINAMERAN "
"Congenital, familial and genetic disorders";21;84;0;37;11;32;71;"TOZINAMERAN "
"Ear and labyrinth disorders";9;5074;0;3777;255;2442;1915;"TOZINAMERAN "
"Endocrine disorders";5;307;0;89;22;153;169;"TOZINAMERAN "
"Eye disorders";28;4769;0;4733;330;3073;3067;"TOZINAMERAN "
"Gastrointestinal disorders";489;19162;0;39760;921;19927;11373;"TOZINAMERAN "
"General disorders and administration site conditions";3330;62177;0;123104;1994;61529;42039;"TOZINAMERAN "
"Hepatobiliary disorders";55;245;0;196;28;316;288;"TOZINAMERAN "
"Immune system disorders";64;1127;0;4928;142;1941;2275;"TOZINAMERAN "
"Infections and infestations";1141;7752;0;6845;457;6771;10513;"TOZINAMERAN "
"Injury, poisoning and procedural complications";179;1442;0;1746;110;1040;8430;"TOZINAMERAN "
"Investigations";368;5138;0;8665;283;4558;6360;"TOZINAMERAN "
"Metabolism and nutrition disorders";210;1678;0;2058;104;1318;1909;"TOZINAMERAN "
"Musculoskeletal and connective tissue disorders";149;34607;0;56154;1094;29407;16287;"TOZINAMERAN "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";67;238;0;47;14;65;332;"TOZINAMERAN "
"Nervous system disorders";1278;44680;0;74076;2648;37350;24841;"TOZINAMERAN "
"Pregnancy, puerperium and perinatal conditions";36;171;0;307;106;192;431;"TOZINAMERAN "
"Product issues";1;21;0;17;2;12;105;"TOZINAMERAN "
"Psychiatric disorders";156;4573;0;5961;229;3066;4488;"TOZINAMERAN "
"Renal and urinary disorders";198;847;0;837;71;588;902;"TOZINAMERAN "
"Reproductive system and breast disorders";3;8593;0;4859;240;3000;4582;"TOZINAMERAN "
"Respiratory, thoracic and mediastinal disorders";1376;11081;0;14107;699;9762;8667;"TOZINAMERAN "
"Skin and subcutaneous tissue disorders";105;12493;0;17336;451;10411;8580;"TOZINAMERAN "
"Social circumstances";14;535;0;354;17;159;738;"TOZINAMERAN "
"Surgical and medical procedures";31;138;0;165;32;110;413;"TOZINAMERAN "
"Vascular disorders";497;6289;0;8960;482;5740;5373;"TOZINAMERAN "
