"Reaction Groups";"Fatal";"Not Recovered/Not Resolved";"Not Specified";"Recovered/Resolved";"Recovered/Resolved With Sequelae";"Recovering/Resolving";"Unknown";_drug
"Ear and labyrinth disorders";0;4504;0;2773;217;2159;1658;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Endocrine disorders";4;171;0;79;7;104;83;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Eye disorders";18;5582;0;5153;318;3466;2678;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Gastrointestinal disorders";236;19967;0;44023;1242;22040;12881;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"General disorders and administration site conditions";1153;62978;0;131516;3227;72421;42140;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Hepatobiliary disorders";44;225;0;122;10;191;194;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Immune system disorders";18;675;0;1197;69;915;904;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Infections and infestations";292;5774;0;7130;497;6321;3136;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Injury, poisoning and procedural complications";121;2246;0;2140;118;1610;4302;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Investigations";108;4231;0;8971;220;4062;3272;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Metabolism and nutrition disorders";64;3104;0;4031;142;2747;1249;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Musculoskeletal and connective tissue disorders";65;41614;0;59832;1785;35594;15728;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";15;126;0;64;3;96;167;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Nervous system disorders";741;52277;0;86065;3583;47244;30611;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Pregnancy, puerperium and perinatal conditions";9;47;0;107;15;63;147;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Product issues";1;54;0;26;3;21;36;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Psychiatric disorders";39;4635;0;6382;253;3719;3624;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Renal and urinary disorders";42;925;0;1184;61;688;592;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Reproductive system and breast disorders";0;5796;0;3056;230;2005;2073;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Respiratory, thoracic and mediastinal disorders";549;9669;0;9485;600;8041;6571;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Skin and subcutaneous tissue disorders";30;12593;0;14603;504;10256;8639;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Social circumstances";7;340;0;395;18;114;260;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Surgical and medical procedures";20;244;0;214;32;212;292;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Vascular disorders";343;5996;0;6232;387;5482;4566;"COVID-19 VACCINE ASTRAZENECA (CHADOX1 NCOV-19) "
"Blood and lymphatic system disorders";24;242;0;97;1;92;115;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Cardiac disorders";96;246;0;259;7;141;198;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Congenital, familial and genetic disorders";0;12;0;2;0;0;7;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Ear and labyrinth disorders";0;172;0;77;1;86;54;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Endocrine disorders";1;14;0;4;0;4;2;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Eye disorders";3;340;0;207;2;122;119;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Gastrointestinal disorders";27;1400;0;2602;5;1454;474;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"General disorders and administration site conditions";191;6207;0;7665;26;6079;2115;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Hepatobiliary disorders";7;25;0;14;0;9;27;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Immune system disorders";5;47;0;71;0;31;94;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Infections and infestations";25;285;0;138;4;159;410;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Injury, poisoning and procedural complications";11;174;0;83;1;35;274;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Investigations";54;1260;0;858;2;372;570;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Metabolism and nutrition disorders";12;108;0;79;0;52;75;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Musculoskeletal and connective tissue disorders";17;3664;0;3545;12;2979;797;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)";2;15;0;1;0;1;5;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Nervous system disorders";94;4233;0;4584;38;3311;1356;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Pregnancy, puerperium and perinatal conditions";1;3;0;4;0;0;12;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Product issues";0;2;0;2;0;0;14;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Psychiatric disorders";9;224;0;189;0;109;234;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Renal and urinary disorders";9;87;0;54;1;26;45;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Reproductive system and breast disorders";3;178;0;105;0;44;92;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Respiratory, thoracic and mediastinal disorders";60;862;0;480;5;302;399;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Skin and subcutaneous tissue disorders";2;635;0;499;7;370;278;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Social circumstances";3;76;0;25;0;9;45;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Surgical and medical procedures";31;238;0;88;0;12;117;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
"Vascular disorders";85;844;0;372;5;199;534;"COVID-19 VACCINE JANSSEN (AD26.COV2.S) "
